English,Japanese
some,いくつかの
say,言う
hey,おい
could,できた
didn't,しませんでした
by,による
need,必要
something,何か
has,もっている
too,あまりにも
more,もっと
way,方法
down,下
make,作る
very,とても
never,一度もない
only,のみ
people,人々
over,以上
because,なぜなら
little,少し
please,お願いします
love,愛
should,すべき
mean,平均
said,言った
sorry,ごめん
give,与える
off,オフ
am,午前
thank,感謝
any,どれでも
two,二
even,平
much,多くの
doing,やってる
sure,もちろん
thing,もの
these,これら
help,ヘルプ
first,初め
into,の中へ
anything,何でも
still,まだ
find,探す
life,人生
nothing,何もない
sir,お客様
day,日
god,神
work,仕事
their,彼らの
uh,ああ
again,また
maybe,多分
must,しなければならない
before,前に
other,他の
wait,待って
stop,停止
call,電話
after,後
won,勝利した
talk,話す
away,離れて
than,よりも
thought,考え
home,家
night,夜
put,置く
great,素晴らしい
those,それらの
last,最後
better,より良い
everything,すべて
told,言った
mr.,氏。
new,新しい
things,もの
always,いつも
keep,保つ
long,長さ
years,年
leave,離れる
does,します
money,お金
around,その周り
doesn't,しない
name,名前
place,場所
ever,これまで
feel,感じる
guys,みんな
father,父親
guy,男
made,作った
old,古い
isn,ではありません
which,どれの
big,大きい
lot,多く
done,終わり
hello,こんにちは
nice,ニース
believe,信じる
girl,女の子
someone,誰か
fine,大丈夫
thanks,ありがとう
wanted,欲しかった
kind,親切
coming,到来
house,家
every,毎
ok,わかりました
through,を通して
being,いる
course,コース
stay,滞在する
left,左
dad,お父さん
enough,十分
happened,起こりました
came,来た
may,5月
mother,母親
wrong,間違っている
world,世界
bad,悪い
might,かもしれない
three,三つ
today,今日
listen,聞く
another,別の
understand,理解する
hear,聞く
remember,覚えて
ask,聞く
own,自分の
same,同じ
show,見せる
else,それ以外
kill,殺す
talking,話している
found,見つかった
next,次
getting,取得
care,お手入れ
car,車
looking,探している
son,息子
try,試す
woman,女性
went,行った
hi,こんにちは
dead,死んだ
many,多くの
mind,心
wasn't,でした
friend,友人
best,最高
mom,お母さん
hell,地獄
morning,朝
trying,試しています
boy,男の子
together,一緒に
yourself,あなた自身
job,仕事
saw,見た
family,家族
real,本物
without,それなし
baby,赤ちゃん
room,部屋
wouldn't,そうしないだろう
already,すでに
move,動く
most,ほとんど
seen,見た
live,ライブ
miss,逃す
actually,実は
huh,はぁ
shit,たわごと
both,両方
heard,聞いた
once,一度
ready,準備ができて
head,頭
called,呼ばれた
used,使用済み
idea,アイデア
knew,知っていた
hold,所有
happy,ハッピー
door,ドア
such,そのような
fuck,くそ
brother,兄弟
also,また
pretty,かわいい
bit,少し
took,取った
haven,避難所
yet,まだ
men,男性
whole,全体
start,始める
use,使用
while,その間
since,以来
wife,妻
days,日々
guess,推測
tomorrow,明日
matter,案件
meet,会う
bring,持ってくる
tonight,今夜
everyone,みんな
run,走る
wanna,したい
hard,難しい
ah,ああ
alone,一人で
myself,自分自身
school,学校
gone,消えた
um,えーっと
end,終わり
saying,言ってる
phone,電話
play,遊ぶ
looks,見た目
couldn't,できませんでした
fucking,クソ
problem,問題
few,少し
friends,友達
gotta,しなきゃ
ago,前
open,開ける
anyone,誰でも
killed,殺された
hope,希望
face,顔
until,それまで
lost,失った
police,警察
excuse,言い訳
turn,振り向く
business,仕事
case,場合
wants,望む
says,言う
TRUE,真実
die,死ぬ
heart,心臓
soon,すぐ
each,それぞれ
worry,心配
later,後で
year,年
watch,時計
music,音楽
hand,手
having,持っている
probably,おそらく
beautiful,美しい
doctor,医者
sit,座る
eat,食べる
thinking,考え
young,若い
second,2番
working,働く
water,水
person,人
part,一部
kids,子供たち
late,遅い
stuff,もの
exactly,その通り
under,下
death,死
minute,分
pay,支払う
crazy,クレイジー
forget,忘れる
everybody,みんな
kid,子供
change,変化
gave,与えた
happen,起こる
damn,くそ
five,五
drink,飲む
far,遠い
knows,知っています
its,その
whatever,何でも
eyes,目
shut,シャット
aren,いる
hit,打つ
taking,取る
easy,簡単
times,回
check,チェック
hands,手
minutes,分
deal,取引
different,違う
means,手段
point,ポイント
inside,内部
makes,作る
asked,尋ねた
somebody,誰か
mine,私の
making,作る
body,体
afraid,恐れている
sleep,寝る
chance,チャンス
dear,親愛なる
quite,とても
four,四
anyway,ともかく
close,近い
ain,ああん
party,パーティー
fun,楽しい
against,に対して
word,言葉
comes,来る
important,重要
set,セット
shall,するだろう
story,話
number,番号
daughter,娘
least,少しでも
waiting,待っている
hurt,傷つく
wish,願い
moment,一瞬
fight,戦い
week,週
husband,夫
girls,女の子
rest,休む
married,既婚
fire,火
game,ゲーム
nobody,誰でもない
mr,氏
children,子供たち
side,側
stand,立つ
read,読む
though,けれど
cut,カット
started,始めました
sister,妹
supposed,想定
between,間
child,子供
goes,行きます
hours,時間
speak,話す
women,女性
behind,後ろに
almost,ほとんど
truth,真実
blood,血
able,できる
lady,レディ
anymore,もう
playing,遊んでいる
gets,取得
shot,ショット
reason,理由
trouble,トラブル
break,壊す
war,戦争
city,市
walk,歩く
town,町
trust,信頼
dr.,博士。
met,会った
office,オフィス
question,質問
brought,持ってくる
yours,あなたのもの
welcome,いらっしゃいませ
high,高い
wow,おお
couple,カップル
half,半分
died,死亡しました
cool,いいね
free,無料
either,どちらか
seems,らしい
power,力
whoa,うわあ
bye,さよなら
buy,買う
telling,伝える
honey,ハニー
tried,試してみた
front,フロント
team,チーム
answer,答え
gun,銃
boys,男の子たち
line,ライン
send,送信
news,ニュース
stupid,バカ
bed,ベッド
hurry,急いで
full,満杯
months,月
save,保存
sometimes,時々
become,なる
along,平行
hate,嫌い
food,食べ物
outside,外
light,ライト
l,私
needs,ニーズ
dog,犬
country,国
clear,クリア
order,注文
em,えっと
fact,事実
lord,主
captain,キャプテン
six,六
hot,熱い
funny,面白い
black,黒
mrs.,夫人。
alive,生きている
pick,選ぶ
feeling,フィーリング
living,生活
cause,原因
ahead,先に
lose,失う
king,王
plan,プラン
dinner,夕食
sighs,ため息をつく
sort,選別
leaving,出発する
shouldn't,すべきだ
running,ランニング
boss,ボス
alright,大丈夫
promise,約束
taken,取られた
safe,安全
ma,ママ
book,本
sent,送信済み
white,白
hour,時間
anybody,誰でも
small,小さい
perfect,完璧
cause,原因
lives,生きる
special,特別
parents,両親
s,s
john,ジョン
himself,彼自身
perhaps,多分
sounds,音
serious,深刻な
sick,病気
company,会社
ha,はぁ
scared,怖がった
uncle,叔父
poor,貧しい
red,赤
past,過去
earth,地球
possible,可能
shoot,シュート
touch,触る
sound,音
top,上
ass,お尻
laughs,笑う
cannot,できない
asking,尋ねる
win,勝つ
glad,嬉しい
control,コントロール
hmm,ふーむ
human,人間
drive,ドライブ
hair,髪
jack,ジャック
bitch,雌犬
luck,運
murder,殺人
happens,起こる
air,空気
ten,十
daddy,お父ちゃん
finally,ついに
chuckles,笑う
fast,速い
cold,寒い
seem,思われる
laughing,笑い
words,言葉
hospital,病院
street,通り
hang,下がる
dance,ダンス
meeting,ミーティング
till,まで
others,その他
catch,キャッチ
follow,フォローする
sense,センス
sex,セックス
lie,嘘
evening,夕方
master,マスター
known,知られている
dream,夢
write,書く
million,百万
voice,声
sweet,甘い
rather,それよりも
felt,感じた
sign,サイン
lucky,ラッキー
somewhere,どこかで
bet,ベット
o,ああ
jesus,イエス
longer,より長いです
calling,電話をかける
worked,働いた
quiet,静かな
looked,見た
less,少ない
pull,引く
beat,ビート
careful,注意深い
coffee,コーヒー
return,戻る
secret,秘密
weeks,週
weren't,いた
date,日付
seeing,見る
fall,秋
given,与えられた
ooh,ああ
fault,故障
straight,真っ直ぐ
takes,かかります
song,歌
future,未来
gentlemen,紳士
loved,愛された
changed,かわった
road,道
calm,落ち着いた
wonderful,素晴らしい
mad,狂った
turned,回った
drop,落とす
ladies,女性
learn,学ぶ
step,ステップ
absolutely,絶対に
early,早い
explain,説明する
clean,クリーン
piece,ピース
yesterday,昨日
throw,投げる
picture,写真
land,土地
feet,足
wonder,不思議
questions,質問
speaking,話し中
worth,価値
darling,ダーリン
dude,お前
giving,与える
president,社長
eye,目
quick,素早い
moving,移動中
figure,形
state,州
strong,強い
sam,サム
none,なし
amazing,すばらしい
ones,もの
works,作品
act,活動
needed,必要な
weird,奇妙な
law,法
worried,心配した
report,報告
goodbye,さようなら
missing,ない
choice,選択
happening,ハプニング
chief,チーフ
wedding,結婚式
strange,奇妙な
general,一般的な
pain,痛み
am,午前
kidding,冗談です
decided,決めた
ya,y A
pass,合格
tired,疲れた
class,クラス
officer,役員
kept,保たれた
wake,目覚める
worse,悪い
busy,忙しい
eh,えー
mistake,間違い
kiss,キス
court,裁判所
building,建物
finish,仕上げる
during,その間
age,年
ship,船
caught,つかまった
marry,結婚する
meant,意味
sell,売る
dark,暗い
watching,見てる
system,システム
suppose,仮定する
evidence,証拠
movie,映画
ride,乗る
t,t
completely,完全に
mouth,口
totally,完全に
birthday,誕生日
tv,テレビ
forgive,許す
born,生まれる
imagine,想像する
information,情報
instead,その代わり
definitely,絶対に
security,安全
certainly,確かに
film,映画
month,月
lying,嘘つき
unless,ない限り
train,電車
seven,セブン
wear,着る
clothes,服
michael,マイケル
hotel,ホテル
christmas,クリスマス
attack,攻撃
hasn't,していない
round,ラウンド
expect,期待する
sing,歌う
terrible,ひどい
george,ジョージ
bag,バッグ
history,歴史
blue,青
near,近く
broke,壊れた
station,駅
seriously,真剣に
forever,永遠に
david,デビッド
frank,フランク
except,を除外する
thinks,考える
message,メッセージ
entire,全体
joe,ジョー
table,テーブル
talked,話しました
across,横切って
rock,ロック
lovely,素敵な
handle,ハンドル
middle,真ん中
buddy,相棒
paid,支払われた
protect,守る
using,使用して
floor,床
ran,走った
swear,誓う
spend,過ごす
situation,状況
ring,指輪
anywhere,どこでも
dangerous,危険な
bill,請求書
york,ヨーク
army,軍
lead,鉛
bought,買った
finished,終了した
fair,公平
sun,太陽
letter,手紙
fool,バカ
attention,注意
club,クラブ
simple,単純
interesting,面白い
space,空間
test,テスト
box,箱
group,グループ
single,シングル
sitting,座っている
marriage,結婚
join,参加する
fear,恐れ
d,d
peace,平和
forgot,忘れた
force,力
short,短い
normal,普通
charlie,チャーリー
present,現在
enjoy,楽しむ
mike,マイク
crime,犯罪
horse,馬
ground,地面
american,アメリカ人
count,カウント
area,エリア
charge,充電
honor,名誉
lunch,ランチ
miles,マイル
radio,無線
idiot,ばか
ball,ボール
surprise,驚き
paper,紙
key,鍵
boat,ボート
quickly,素早く
gold,金
bar,バー
fish,魚
mark,マーク
tom,トム
wearing,着ている
crying,泣いている
accident,事故
government,政府
eight,八
fell,落ちた
cover,カバー
certain,ある
interested,興味がある
deep,深い
star,星
sea,海
agree,同意する
